# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-a" "refs/features.gff" "-o" "counts.txt" "bam/BORED_1.bam" "bam/BORED_2.bam" "bam/BORED_3.bam" "bam/EXCITED_1.bam" "bam/EXCITED_2.bam" "bam/EXCITED_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/BORED_1.bam	bam/BORED_2.bam	bam/BORED_3.bam	bam/EXCITED_1.bam	bam/EXCITED_2.bam	bam/EXCITED_3.bam
BMB-366-SAME-1	Golden	49994	50737	+	744	2	8	4	10	18	8
BNB-366-SAME-1	Golden	51237	51881	+	645	2	2	4	14	0	6
BPB-183-SAME-1	Golden	52381	53519	+	1139	2	4	10	10	4	8
BRB-92-SAME-1	Golden	54019	54555	+	537	0	0	0	0	4	4
BSB-92-SAME-1	Golden	55055	55658	+	604	2	0	0	6	2	0
BTB-46-SAME-1	Golden	56158	57185	+	1028	2	2	4	2	4	4
BUB-23-SAME-1	Golden	57685	59707	+	2023	0	0	2	2	6	0
BVB-23-SAME-1	Golden	60207	60700	+	494	0	0	2	0	4	0
BWB-11-SAME-1	Golden	61200	62224	+	1025	2	0	0	0	2	0
BXB-6-SAME-1	Golden	62724	63860	+	1137	0	2	0	0	0	0
BYB-1-SAME-1	Golden	64360	65383	+	1024	0	0	0	0	0	0
CAC-2250000-DOWN-0.67	Golden	65883	66405	+	523	42258	49405	45934	62791	46740	52897
CBC-562500-DOWN-0.67	Golden	66905	67745	+	841	14044	17441	15634	19532	13140	16812
CCC-140625-DOWN-0.67	Golden	68245	69287	+	1043	2050	2664	2240	3060	2008	2492
CDC-70312-DOWN-0.67	Golden	69787	70781	+	995	2046	2446	2096	2644	1918	2216
CEC-35156-DOWN-0.67	Golden	71281	71923	+	643	380	504	464	488	322	378
CFC-17578-DOWN-0.67	Golden	72423	73579	+	1157	406	616	528	734	386	506
CGC-8789-DOWN-0.67	Golden	74079	74602	+	524	94	114	104	190	132	118
CHC-8789-DOWN-0.67	Golden	75102	75744	+	643	164	184	150	248	132	192
CIC-4395-DOWN-0.67	Golden	76244	77238	+	995	116	144	134	174	94	134
CJC-2197-DOWN-0.67	Golden	77738	79088	+	1351	64	72	48	64	60	84
CKC-2197-DOWN-0.67	Golden	79588	79862	+	275	4	6	14	10	2	4
CLC-1099-DOWN-0.67	Golden	80362	81381	+	1020	42	40	44	58	46	42
CMC-549-DOWN-0.67	Golden	81881	82665	+	785	0	20	4	14	10	8
CNC-549-DOWN-0.67	Golden	83165	83905	+	741	4	6	12	14	6	4
CPC-275-DOWN-0.67	Golden	84405	85541	+	1137	4	18	18	8	8	10
CRC-137-DOWN-0.67	Golden	86041	86577	+	537	2	0	0	0	0	0
CSC-137-DOWN-0.67	Golden	87077	87821	+	745	0	6	2	2	0	4
CTC-69-DOWN-0.67	Golden	88321	89343	+	1023	0	4	2	0	4	4
CUC-34-DOWN-0.67	Golden	89843	90379	+	537	0	0	0	0	0	0
CVC-34-DOWN-0.67	Golden	90879	91723	+	845	2	2	0	0	0	2
CWC-17-DOWN-0.67	Golden	92223	93217	+	995	0	0	0	2	0	0
CXC-9-DOWN-0.67	Golden	93717	94860	+	1144	0	0	0	0	0	0
CYC-2-DOWN-0.67	Golden	95360	96381	+	1022	0	0	0	0	0	0
DAD-3000000-DOWN-0.5	Golden	96881	97942	+	1062	76117	95269	84440	80264	52237	68098
DBD-750000-DOWN-0.5	Golden	98442	98964	+	523	6237	6762	6362	7484	4894	5912
DCD-187500-DOWN-0.5	Golden	99464	100487	+	1024	5674	6308	6070	7062	4490	5464
DDD-93750-DOWN-0.5	Golden	100987	102010	+	1024	3422	3912	3768	4236	2924	3460
DED-46875-DOWN-0.5	Golden	102510	103261	+	752	598	716	672	724	366	550
DFD-23438-DOWN-0.5	Golden	103761	104897	+	1137	748	1010	882	840	544	688
DGD-11719-DOWN-0.5	Golden	105397	106269	+	873	158	254	164	188	126	132
DHD-11719-DOWN-0.5	Golden	106769	107413	+	645	134	184	196	176	120	148
DID-5859-DOWN-0.5	Golden	107913	108906	+	994	148	178	198	152	118	134
DJD-2930-DOWN-0.5	Golden	109406	109949	+	544	32	30	48	22	22	30
DKD-2930-DOWN-0.5	Golden	110449	110974	+	526	34	44	64	54	38	34
DLD-1465-DOWN-0.5	Golden	111474	112217	+	744	36	72	54	46	42	38
DMD-732-DOWN-0.5	Golden	112717	114674	+	1958	36	24	24	44	12	24
DND-732-DOWN-0.5	Golden	115174	115447	+	274	2	0	0	0	4	2
DPD-366-DOWN-0.5	Golden	115947	117084	+	1138	4	22	12	10	8	14
DRD-183-DOWN-0.5	Golden	117584	118121	+	538	0	0	0	2	4	0
DSD-183-DOWN-0.5	Golden	118621	119429	+	809	4	6	0	6	4	0
DTD-92-DOWN-0.5	Golden	119929	120953	+	1025	4	2	2	4	6	6
DUD-46-DOWN-0.5	Golden	121453	122575	+	1123	0	2	4	2	2	0
DVD-46-DOWN-0.5	Golden	123075	123609	+	535	0	0	0	0	0	0
DWD-23-DOWN-0.5	Golden	124109	125129	+	1021	0	0	0	0	0	0
DXD-11-DOWN-0.5	Golden	125629	126765	+	1137	0	0	0	0	0	0
DYD-3-DOWN-0.5	Golden	127265	128257	+	993	0	0	0	0	0	0
